Bay, Year, Day1Age0, Day1Age1, Day1Age2, LDayAge0, LDayAge1, LDayAge2, 
Galveston, 1982,  , 118, 104,  , 139, 159, 
Galveston, 1983,  , 110, 137,  , 110, 152, 
Galveston, 1984, 144, 286,  , 286, 286,  , 
Galveston, 1985, 270,  , 122, 297,  , 137, 
Galveston, 1986, 150,  ,  , 268,  ,  , 
Galveston, 1987, 167, 111, 111, 167, 118, 111, 
Galveston, 1988, 145,  ,  , 169,  ,  , 
Galveston, 1989, 143,  ,  , 262,  ,  , 
Galveston, 1990, 156,  , 111, 264,  , 111, 
Galveston, 1992, 259, 127,  , 287, 127,  , 
Galveston, 1993, 146,  ,  , 285,  ,  , 
Galveston, 1994, 258,  ,  , 294,  ,  , 
Galveston, 1995, 278,  ,  , 278,  ,  , 
Galveston, 1996, 269,  ,  , 269,  ,  , 
Galveston, 1997, 169,  ,  , 282,  ,  , 
Galveston, 1998, 155,  , 125, 155,  , 125, 
Galveston, 1999, 126, 301, 140, 264, 301, 140, 
Galveston, 2000, 258,  , 111, 263,  , 111, 
Galveston, 2001, 144,  ,  , 144,  ,  , 
Galveston, 2002, 164,  ,  , 164,  ,  , 
Galveston, 2003,  , 142,  ,  , 142,  , 
Galveston, 2005, 137, 273,  , 283, 273,  , 
Galveston, 2006, 156, 137,  , 156, 137,  , 
Galveston, 2007, 150,  ,  , 277,  ,  , 
Galveston, 2008, 157,  ,  , 157,  ,  , 
Galveston, 2009, 146,  ,  , 279,  ,  , 
Galveston, 2010, 166,  ,  , 292,  ,  , 
Galveston, 2011, 152, 116,  , 159, 116,  , 
Galveston, 2012, 268,  ,  , 293,  ,  , 
Galveston, 2013, 136, 252,  , 302, 267,  , 
Galveston, 2014, 155,  ,  , 280,  ,  , 
Galveston, 2015, 272,  ,  , 272,  ,  , 
Galveston, 2017, 117,  ,  , 158,  ,  , 
Galveston, 2018, 142, 143,  , 284, 163,  , 
Galveston, 2019, 169,  ,  , 281,  ,  , 
Galveston, 2020, 288,  ,  , 294,  ,  , 
Galveston, 2021, 131,  ,  , 298,  ,  , 
Lower Laguna, 1982, 127, 141, 104, 138, 141, 110, 
Lower Laguna, 1984, 255,  ,  , 269,  ,  , 
Lower Laguna, 1985, 137,  ,  , 281,  ,  , 
Lower Laguna, 1986, 261,  ,  , 261,  ,  , 
Lower Laguna, 1987, 134, 260,  , 310, 260,  , 
Lower Laguna, 1988, 324, 147,  , 324, 147,  , 
Lower Laguna, 1989, 159,  ,  , 263,  ,  , 
Lower Laguna, 1990, 150, 271,  , 311, 271,  , 
Lower Laguna, 1991, 172,  ,  , 276,  ,  , 
Lower Laguna, 1992, 260,  ,  , 294,  ,  , 
Lower Laguna, 1993, 146,  ,  , 146,  ,  , 
Lower Laguna, 1994, 152,  ,  , 263,  ,  , 
Lower Laguna, 1995, 129,  , 144, 164,  , 144, 
Lower Laguna, 1996, 254,  ,  , 275,  ,  , 
Lower Laguna, 1997, 161,  ,  , 317,  ,  , 
Lower Laguna, 1998, 301,  , 139, 301,  , 139, 
Lower Laguna, 1999, 118,  ,  , 274,  ,  , 
Lower Laguna, 2000, 277,  ,  , 320,  ,  , 
Lower Laguna, 2001, 151, 100,  , 275, 256,  , 
Lower Laguna, 2003,  , 112,  ,  , 112,  , 
Lower Laguna, 2004, 160,  ,  , 160,  ,  , 
Lower Laguna, 2005, 270,  ,  , 292,  ,  , 
Lower Laguna, 2006, 158,  ,  , 298,  ,  , 
Lower Laguna, 2007, 268,  ,  , 269,  ,  , 
Lower Laguna, 2008, 141,  ,  , 276,  ,  , 
Lower Laguna, 2009, 154,  ,  , 301,  ,  , 
Lower Laguna, 2010, 256,  ,  , 256,  ,  , 
Lower Laguna, 2011, 257,  ,  , 313,  ,  , 
Lower Laguna, 2012, 144,  ,  , 283,  ,  , 
Lower Laguna, 2015, 309,  ,  , 314,  ,  , 
Lower Laguna, 2016, 166,  ,  , 279,  ,  , 
Lower Laguna, 2017, 123,  ,  , 123,  ,  , 
Lower Laguna, 2018, 129,  ,  , 297,  ,  , 
Lower Laguna, 2020, 287,  ,  , 323,  ,  , 
Lower Laguna, 2021, 141, 141,  , 273, 141,  , 
San Antonio, 1982, 131,  ,  , 161,  ,  , 
San Antonio, 1983, 159, 159,  , 159, 159,  , 
San Antonio, 1989, 277,  ,  , 277,  ,  , 
